File,LipidClass,LipidSpecies,Adduct,Label,CCS
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 34:4,[M+Na],heavy,252.79
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 35:1,[M+NH4],light,266.57
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 35:1,[M+Na],light,264.31
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 35:1,[M+NH4],heavy,267.9
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 35:1,[M+Na],heavy,265.09
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 35:2,[M+NH4],light,263.26
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 35:2,[M+Na],light,260.45
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 35:2,[M+NH4],heavy,262.38
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 35:2,[M+Na],heavy,262.34
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 35:3,[M+NH4],light,257.18
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 35:3,[M+Na],light,257.97
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 35:3,[M+NH4],heavy,257.69
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 35:3,[M+Na],heavy,257.1
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 35:4,[M+NH4],light,255.53
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 35:4,[M+Na],light,255.49
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 35:4,[M+NH4],heavy,256.04
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 35:4,[M+Na],heavy,256.83
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 36:1,[M+NH4],light,269.76
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 36:1,[M+Na],light,268.61
